"","ward","area","name"
"290","E05000391",1.56880831365107,"Holland"
"291","E05000801",3.45007293431802,"Ashton St Michael's"
"292","E05005638",1.44894219193765,"Sleaford Castle"
"293","E05000037",1.8709153805149,"Parsloes"
"294","E05004922",2.58682736171413,"Tankerton"
"295","E05002308",18.4058669115472,"Purley on Thames"
"296","W05000617",2.50495415372984,"Newcastle"
"297","E05006935",58.6672637506746,"Weaver"
"298","E05008298",59.4432597684015,"St Just in Penwith"
"299","E05003761",44.6414312696725,"Netherbury"
"300","W05000730",3.17770468182044,"Hengoed"
"301","W05000079",302.392652205184,"Llandderfel"
"302","W05000330",7.62167393307851,"Machynlleth"
"303","E05004302",1.05471822709396,"St Paul's"
"304","E05004034",6.52882303521944,"Wickford Castledon"
"305","E05005632",3.66000486653189,"North Hykeham Mill"
"306","E05008578",91.2246213086436,"Kimbolton and Staughton"
"307","E05004775",29.3237324195846,"Knebworth"
"308","E05003746",120.85428552872,"Charminster and Cerne Valley"
"309","E05002125",5.30803932426972,"Talbot and Branksome Woods"
"310","E05001885",54.9837643720205,"Church Aston and Lilleshall"
"311","E05001558",2.81702808986848,"Eastbourne"
"312","E05008015",40.4888687315569,"Willington"
"313","E05001807",39.5346478028625,"Cottesmore"
"314","W05000151",103.503111090523,"Corwen"
"315","E05000852",5.56487689822611,"Leigh East"
"316","E05002064",12.1322332456495,"Patchway"
"317","E05003739",4.36517778729451,"Bradpole"
"318","E05000279",1.64950456279068,"Stroud Green"
"319","E05005670",55.7312207314769,"Ermine"
"320","E05004463",3.57261958718047,"Alton Whitedown"
"321","W05000569",10.778590160985,"Dyffryn"
"322","E05004862",3.4040153669698,"Peartree"
"323","E05007987",39.8539546690781,"Framwellgate Moor"
"324","E05000750",38.411500946389,"Norden"
"325","E05003615",12.3810674895763,"Appledore"
"326","W05000788",19.1967531802701,"Two Locks"
"327","E05005247",128.46369661202,"Upper Lune Valley"
"328","E05000427",1.75357807221555,"Prince's"
"329","E05008248",42.6844978349369,"Mabe"
"330","E05000764",3.9053309977875,"Eccles"
"331","E05006634",3.0896038701026,"Carterton South"
"332","E05004025",8.5531253540369,"Fryerns"
"333","E05000125",6.0432584296701,"Plaistow and Sundridge"
"334","E05007494",2.42452168723065,"Bilton"
"335","E05002385",4.72257491444861,"Maiden Erlegh"
"336","E05000714",2.76271922693871,"Rusholme"
"337","E05002781",3.10045311449897,"St Neots Eaton Socon"
"338","E05005798",4.49116759991637,"Southtown and Cobholm"
"339","E05008189",74.1410484617006,"Shifnal South and Cosford"
"340","E05005824",100.675195463226,"Priory"
"341","E05000187",5.0825964252698,"Perivale"
"342","W05000926",8.61833974235698,"Penyrheol"
"343","E05001030",8.43079393001677,"Rotherham West"
"344","E05003324",3.06525620615627,"Brimington North"
"345","E05007941",3.00564295580796,"Sutton Park"
"346","E05005138",10.4532503262366,"Paddock Wood East"
"347","E05005202",8.45637828594452,"St Leonards"
"348","E05002099",17.4627800447503,"Blatchcombe"
"349","E05006215",79.3269054573482,"Helperby"
"350","E05008637",4.77158993754529,"Macclesfield South"
"351","W05000517",6.49702877752569,"Castle"
"352","E05001717",5.34601426260285,"Heneage"
"353","E05002108",4.67399038959638,"St Mary's-with-Summercombe"
"354","E05006601",2.7555781325565,"Abingdon Fitzharris"
"355","E05003215",127.25049761105,"Hesket"
"356","E05004261",47.17163046683,"Ashdon"
"357","E05005361",5.25372454328691,"Burscough East"
"358","E05001850",1.97943136814235,"Central"
"359","E05008151",101.992802060671,"Cheswardine"
"360","E05000581",1.3564195954338,"Mile End and Globe Town"
"361","E05007460",12.9622101845714,"Atherstone South and Mancetter"
"362","E05002758",2.81257678977137,"The Mills"
"363","E05000860",11.3144601540591,"Tyldesley"
"364","E05006443",11.56988785962,"Woodborough"
"365","E05003927",4.17340090012445,"Sovereign"
"366","E05005570",141.729593286379,"Hundleby"
"367","E05001549",5.86566328476049,"Stockton Town Centre"
"368","E05007279",9.24574975989062,"Nonsuch"
"369","E05004604",3.98931384520867,"Milton"
"370","E05000274",2.48877062441453,"Muswell Hill"
"371","E05001817",2.58544492603051,"Oakham South East"
"372","E05008779",47.6192690799346,"Arlesey"
"373","E05008815",30.475720671888,"Melbourne"
"374","W05000775",3.99643808945694,"Greenmeadow"
"375","E05000383",1.44201828922327,"Brompton"
"376","E05008342",1.85876019134381,"Calne North"
"377","W05000270",82.1093423913454,"Overton"
"378","E05001748",45.1397541220594,"Derwent"
"379","W05000148",263.890833421484,"Uwch Conwy"
"380","E05000333",9.37662098149886,"Ickenham"
"381","E05002791",144.526928173016,"Balsham"
"382","E05006475",25.8159593006274,"Edwinstowe"
"383","E05001077",3.35871768649435,"High Fell"
"384","E05002152",2.3744462548647,"Eastcott"
"385","E05007182",4.70601783475237,"Moreton Hall"
"386","E05005042",1.75696114364425,"Folkestone Morehall"
"387","E05004577",3.92230680022803,"Stakes"
"388","E05001777",8.08613658379551,"Littleover"
"389","E05005860",14.5933563022604,"North Walsham West"
"390","E05005084",1.9691163721625,"Bradstowe"
"391","E05001234",6.2640779055476,"Woodlands"
"392","E05002647",12.5093217623494,"Little Missenden"
"393","E05008228",72.3664303007951,"Gwinear-Gwithian and St Erth"
"394","E05004305",7.9838231957338,"Swindon Village"
"395","E05007445",10.0886441032035,"Horsell East and Woodham"
"396","E05003501",5.32186376559926,"Priory"
"397","E05001583",11.8488670714701,"Ditton"
"398","E05000040",1.94469010944214,"Valence"
"399","E05003773",1.63894558558141,"Radipole"
"400","E05007236",4.03167165080159,"Harbour"
"401","E05005079",36.6186471218637,"West Downs"
"402","E05005303",10.4453141045782,"Langho"
"403","E05002163",4.7152172391239,"St Philip"
"404","E05003690",6.6466879089171,"Verwood Dewlands"
"405","W05000822",1.05966463668557,"St. Christopher's"
"406","E05008666",26.623464571826,"Davenham and Moulton"
"407","E05003351",25.2209148802027,"Darley Dale"
"408","E05000787",4.35817543649306,"Davenport and Cale Green"
"409","W05000402",101.12879862982,"Clydau"
"410","E05007122",5.11506374857659,"Gipping"
"411","E05002679",33.9445657075237,"Chiltern Rise"
"412","E05000151",7.56998168751942,"Coulsdon West"
"413","E05000487",2.8588311344272,"Little Ilford"
"414","E05003392",1.21383670347642,"Buxton Central"
"415","E05003541",111.608739225652,"Combe Martin"
"416","W05000527",1.98776434390911,"Killay South"
"417","E05005577",115.790447967633,"Mareham le Fen"
"418","E05007625",35.3085102121372,"Southbourne"
"419","E05006841",20.7227251858746,"Milborne Port"
"420","E05000290",6.91922370328592,"Harrow Weald"
"421","E05001174",10.5435158473611,"Washington East"
"422","W05000690",5.69784722004691,"Rhydfelen Central/Ilan"
"423","E05004581",3.81414157074258,"Barton"
"424","E05007109",105.653953849766,"Iceni"
"425","E05006481",43.4036068984777,"Ollerton"
"426","E05004042",3.00143668321,"Braintree Central"
"427","E05008389",1.55676380547874,"Salisbury St Edmund and Milford"
"428","W05000192",55.2987668555918,"Caerwys"
"429","E05008669",27.5867186901745,"Elton"
"430","E05007295",39.3341947333031,"Lovelace"
"431","E05002071",21.0078469728195,"Thornbury North"
"432","E05005902",15.3716512668958,"Old Costessey"
"433","E05002752",12.705602787589,"Peckover"
"434","E05004085",20.6766179451997,"Canvey Island East"
"435","E05001963",8.5426088314602,"Saltford"
"436","E05000445",3.61228072687535,"Grove Park"
"437","W05000790",11.7267797828457,"Wainfelin"
"438","W05000660",7.80529071794164,"Beddau"
"439","E05001232",10.5403425184761,"Westwood"
"440","E05002422",6.27566216760007,"East Brighton"
"441","E05006973",3.28251468060831,"Kidsgrove"
"442","E05005398",1.96266954694695,"Park"
"443","E05007214",64.8902169381006,"Otley"
"444","E05008790",3.47225289322818,"Dunstable-Watling"
"445","E05001893",102.324113680958,"Ercall Magna"
"446","W05000114",135.305839844062,"Betws yn Rhos"
"447","E05004914",43.9403611536328,"Marshside"
"448","E05005410",21.8499588435722,"Countesthorpe"
"449","E05006405",1.68476485474352,"Beeston North"
"450","E05006301",209.106886523753,"Derwent"
"451","E05001469",1.4108459171018,"Fens"
"452","E05005841",96.1323449882741,"Wimbotsham with Fincham"
"453","E05001246",7.12261829118771,"Hayley Green and Cradley South"
"454","E05001297",5.79360482184681,"Shirley South"
"455","W05000688",113.710194684055,"Rhigos"
"456","E05006866",75.7510573019621,"North Curry and Stoke St Gregory"
"457","E05002777",5.88917105627362,"St Ives East"
"458","E05001819",53.5476710875427,"Ryhall and Casterton"
"459","E05004507",15.559600393386,"Hamble-le-Rice and Butlocks Heath"
"460","E05008852",4.12355949378329,"Talavera"
"461","E05004997",18.955653266619,"Leeds"
"462","E05000771",10.3615014094827,"Pendlebury"
